feature,importance
referredby_8a858ff45be92ea2015be991525a2f79,0.0
referredby_8a858ff45be92ea2015be9db14023e1e,0.0
referredby_8a858ff85bd93919015bda56605652bd,0.0
referredby_8a858ff9580b8812015815c32c7b1cd8,0.0
referredby_8a858ffa5ad810ff015ad82004960681,0.0
referredby_8a858ffc5852f33d01585542e78e06f8,0.0
referredby_8a858ffd5b391849015b396573d05c77,0.0
referredby_8a858ffd5c8d343d015c8eae471c7b48,0.0
referredby_8a858ff35acdd593015ad12db5593535,0.0
referredby_8a858fd85b685607015b7bf160dd7dfe,0.0
referredby_8a858fd95c3b5bca015c438aac9e415e,0.0
referredby_8a858fdc57ab280a0157b277e9ff6d53,0.0
referredby_8a858fde56eb02280156eb911f1e3872,0.0
referredby_8a858fdf5bf85f71015bf8bc66792023,0.0
referredby_8a858fdf5bf85f71015bf90560683095,0.0
referredby_8a858fdf5bf85f71015bf93c8dd53cc7,0.0
referredby_8a858fe25b8c4e5c015b8f61faf34239,0.0
referredby_8a858fed5a3d7bb7015a3de90f6c297c,0.0
referredby_8a858fe55b869107015b86d3071740d2,0.0
referredby_8a858fe65675195a0156766ebdb042c8,0.0
referredby_8a858fe756939bbb0156993f3dda2d08,0.0
referredby_8a858fea5b391cd7015b393aed9e2a04,0.0
referredby_8a858fea5b8c314d015b8f446e883cad,0.0
referredby_8a858fec5b5c994b015b5c9ababf013b,0.0
referredby_8a858fec5c169ff0015c16a935bc04b2,0.0
referredby_8a858fed5a28bf0e015a29acfb4b3fcf,0.0
referredby_8a858fe45cd62cbf015ce67f3f26051a,0.0
referredby_8a858f8f5bfd3cfa015bff332a9455b1,0.0
referredby_8a858f8f5bfd3cfa015c00d9519d7cee,0.0
referredby_8a858f8f5bfd3cfa015c026e474b47a5,0.0
referredby_8a858f8f5bfd3cfa015c0bff67f55d4b,0.0
referredby_8a858f905c06a9c0015c06f14e5506fb,0.0
referredby_8a858f915cf8c38b015cf900f2312851,0.0
referredby_8a858f93572e873c01573e5728586df8,0.0
